date,ifix_value,title_sentiment,snippet_sentiment,average_sentiment
2023-05-15,2967.44,-0.06307,0.25358,0.09526
2023-05-16,2978.45,,,
2023-05-17,2990.02,-0.085,0.18655,0.05078
2023-05-18,2992.68,-0.00222,0.22662,0.1122
2023-05-19,2998.16,0.1779,0.7003,0.4391
2023-05-20,,0.29295,0.22895,0.26095
2023-05-21,,0.0,0.0,0.0
2023-05-22,3000.79,0.29933,0.49167,0.3955
2023-05-23,3005.48,0.1027,0.0,0.05135
2023-05-24,2996.11,0.0,0.0,0.0
2023-05-25,3003.53,0.0898,0.31245,0.20112
2023-05-26,3007.39,-0.1405,0.32127,0.09038
2023-05-27,,,,
2023-05-28,,0.0,0.0,0.0
2023-05-29,3007.26,-0.20095,0.0,-0.10048
2023-05-30,3002.96,0.09172,0.174,0.13286
2023-05-31,3013.46,0.06932,0.19418,0.13175
2023-06-01,3011.49,0.27447,0.50723,0.39085
2023-06-02,3026.89,-0.00828,0.12343,0.05757
2023-06-03,,,,
2023-06-04,,,,
2023-06-05,3034.95,-0.128,-0.10195,-0.11498
2023-06-06,3034.04,0.14845,0.0,0.07422
2023-06-07,3038.8,-0.08708,0.04448,-0.0213
2023-06-08,,,,
2023-06-09,3046.98,,,
2023-06-10,,,,
2023-06-11,,0.34,-0.2263,0.05685
2023-06-12,3047.79,-0.0683,0.1423,0.037
2023-06-13,3051.11,0.0081,0.24267,0.12538
2023-06-14,3056.04,0.54815,0.6269,0.58752
2023-06-15,3064.48,0.4404,0.6908,0.5656
2023-06-16,3082.71,-0.00092,0.24528,0.12218
2023-06-17,,-0.086,-0.3024,-0.1942
2023-06-18,,,,
2023-06-19,3093.01,-0.7225,-0.72655,-0.72452
2023-06-20,3097.34,,,
2023-06-21,3103.36,-0.18548,-0.0691,-0.12729
2023-06-22,3099.39,-0.14433,-0.02323,-0.08378
2023-06-23,3106.81,-0.6486,-0.5709,-0.60975
2023-06-24,,,,
2023-06-25,,,,
2023-06-26,3109.74,-0.4019,-0.1531,-0.2775
2023-06-27,3116.6,-0.4156,-0.09453,-0.25507
2023-06-28,3120.45,0.07452,0.24178,0.15815
2023-06-29,3132.06,0.1867,0.07773,0.13222
2023-06-30,3155.32,0.02142,0.06217,0.0418
2023-07-01,,,,
2023-07-02,,,,
2023-07-03,3152.07,,,
2023-07-04,3157.36,0.09223,0.0,0.04612
2023-07-05,3170.77,-0.1591,-0.3062,-0.23265
2023-07-06,3177.21,-0.17585,-0.2616,-0.21872
2023-07-07,3190.78,-0.23535,-0.3223,-0.27882
2023-07-08,,-0.13055,-0.401,-0.26578
2023-07-09,,,,
2023-07-10,3181.1,-0.2732,-0.296,-0.2846
2023-07-11,3181.58,0.0,-0.3182,-0.1591
2023-07-12,3179.95,0.148,0.5849,0.36645
2023-07-13,3178.31,0.5267,-0.2732,0.12675
2023-07-14,3184.03,0.2162,-0.1408,0.0377
2023-07-15,,-0.3612,-0.3612,-0.3612
2023-07-16,,0.0,0.0,0.0
2023-07-17,3182.62,0.13397,0.09647,0.11522
2023-07-18,3180.0,0.0,0.0,0.0
2023-07-19,3174.68,0.32805,0.3578,0.34292
2023-07-20,3173.7,-0.13054,0.1449,0.00718
2023-07-21,3185.21,-0.34,0.0,-0.17
2023-07-22,,,,
2023-07-23,,,,
2023-07-24,3182.42,0.02242,0.11176,0.06709
2023-07-25,3182.86,0.0,0.0,0.0
2023-07-26,3174.92,0.13194,0.3969,0.26442
2023-07-27,3173.67,-0.1242,0.31837,0.09708
2023-07-28,3181.25,-0.6705,-0.28595,-0.47822
2023-07-29,,,,
2023-07-30,,0.2202,0.1366,0.1784
2023-07-31,3197.18,-0.4767,-0.1531,-0.3149
2023-08-01,3189.33,0.25428,0.1589,0.20659
2023-08-02,3192.16,-0.12683,0.06428,-0.03127
2023-08-03,3201.72,0.33072,0.22045,0.27559
2023-08-04,3216.66,0.0829,-0.01323,0.03484
2023-08-05,,-0.1779,-0.3369,-0.2574
2023-08-06,,,,
2023-08-07,3219.41,0.02438,-0.02426,6e-05
2023-08-08,3216.83,0.10115,0.2294,0.16528
2023-08-09,3212.17,0.19532,-0.07343,0.06095
